Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
Xeppaa,C9,"Kayo, Gekko, Skye",277,0.90,175.4,0.78,73.0,120.3,0.56,0.39,0.05,0.09,26.0,24%,5/21,18,156,200,109,14,25,americas_s2_2024
tuyz,LOUD,"Gekko, Omen, Jett",299,0.89,175.5,0.9,70.0,117.3,0.64,0.23,0.08,0.13,27.0,6%,2/34,22,190,210,70,25,38,americas_s2_2024
Victor,NRG,"Neon, Clove, Raze",215,0.88,214.7,0.98,67.0,139.6,0.75,0.17,0.2,0.24,25.0,17%,1/6,23,161,165,37,43,51,americas_s2_2024
liazzi,MIBR,"Killjoy, Kayo, Breach",225,0.88,172.1,0.87,70.0,115.0,0.61,0.25,0.05,0.07,32.0,12%,3/26,19,138,158,57,12,16,americas_s2_2024
vanity,C9,"Omen, Viper",277,0.87,177.4,0.84,66.0,118.5,0.62,0.31,0.1,0.13,21.0,10%,4/39,21,173,205,85,27,36,americas_s2_2024
saadhak,LOUD,"Neon, Gekko, Kayo",299,0.86,192.8,0.8,69.0,126.8,0.61,0.37,0.1,0.15,22.0,23%,5/22,20,183,229,110,31,46,americas_s2_2024
NaturE,EG,"Breach, Killjoy, Skye",242,0.86,163.5,0.78,72.0,107.4,0.57,0.36,0.06,0.06,32.0,14%,5/37,19,137,175,86,15,15,americas_s2_2024
Boostio,100T,"Killjoy, Gekko, Breach",411,0.86,187.7,0.84,70.0,131.5,0.63,0.28,0.08,0.11,24.0,13%,5/39,21,260,309,117,34,45,americas_s2_2024
runi,C9,"Sova, Breach, Viper",277,0.85,162.0,0.78,70.0,107.7,0.55,0.3,0.05,0.05,32.0,9%,4/43,22,151,194,83,13,15,americas_s2_2024
Palla,MIBR,"Jett, Raze",183,0.83,221.1,0.85,63.0,142.3,0.73,0.15,0.22,0.2,27.0,18%,2/11,18,134,157,27,41,37,americas_s2_2024
mta,KRÜ,"Cypher, Sova, Viper",445,0.82,162.9,0.78,67.0,111.8,0.57,0.22,0.07,0.08,33.0,7%,3/44,22,255,327,100,30,34,americas_s2_2024
FiNESSE,NRG,"Cypher, Deadlock, Viper",215,0.76,158.1,0.71,64.0,105.5,0.54,0.28,0.08,0.04,19.0,12%,3/25,18,116,163,60,17,9,americas_s2_2024
Apoth,EG,"Cypher, Harbor, Brimstone",242,0.73,150.6,0.68,62.0,102.4,0.5,0.26,0.07,0.14,32.0,16%,4/25,18,121,179,63,17,33,americas_s2_2024
xand,FUR,"Sage, Gekko, Fade",241,0.69,139.4,0.65,70.0,94.7,0.49,0.34,0.07,0.13,29.0,8%,2/25,18,119,183,83,18,32,americas_s2_2024
Klaus,KRÜ,"Viper, Cypher",47,0.66,127.0,0.59,64.0,92.6,0.43,0.23,0.09,0.13,27.0,,0/3,12,20,34,11,4,6,americas_s2_2024
Pa1nt,MIBR,"Iso, Jett",42,0.53,140.5,0.54,64.0,101.3,0.45,0.29,0.1,0.21,24.0,,0/1,11,19,35,12,4,9,americas_s2_2024
Karon,GEN,"Omen, Viper, Brimstone",480,1.21,207.5,1.24,79.0,134.0,0.78,0.43,0.09,0.05,36.0,15%,10/65,28,372,299,204,44,24,pacific_s2_2024
Sayaplayer,T1,"Chamber, Sage, Jett",268,1.18,227.2,1.37,75.0,145.5,0.85,0.12,0.18,0.11,27.0,11%,4/36,24,228,167,32,48,29,pacific_s2_2024
d4v41,PRX,"Killjoy, Sage, Viper",436,1.18,212.6,1.22,78.0,141.4,0.75,0.36,0.08,0.06,27.0,18%,9/50,25,326,267,157,37,28,pacific_s2_2024
invy,TS,"Kayo, Breach, Viper",290,1.15,200.9,1.1,75.0,133.1,0.71,0.5,0.07,0.06,27.0,11%,4/37,24,207,189,145,21,17,pacific_s2_2024
f0rsakeN,PRX,"Kayo, Breach, Skye",436,1.15,228.3,1.18,78.0,147.0,0.8,0.47,0.1,0.09,29.0,7%,2/30,22,349,296,203,42,39,pacific_s2_2024
primmie,TLN,"Clove, Jett, Iso",118,1.12,254.5,1.06,69.0,174.1,0.91,0.2,0.16,0.13,45.0,27%,4/15,28,107,101,24,19,15,pacific_s2_2024
Meiy,DFM,"Jett, Raze, Neon",250,1.12,252.9,1.12,72.0,165.3,0.91,0.14,0.22,0.18,25.0,10%,2/21,32,227,203,34,56,45,pacific_s2_2024
Jemkin,RRQ,"Gekko, Jett, Raze",328,1.11,218.3,1.22,78.0,144.0,0.8,0.18,0.13,0.13,30.0,27%,7/26,27,261,214,60,41,41,pacific_s2_2024
BuZz,DRX,"Jett, Raze, Neon",590,1.10,241.5,1.15,69.0,153.2,0.84,0.15,0.17,0.16,21.0,29%,14/49,33,498,434,87,98,95,pacific_s2_2024
sScary,BLD,"Omen, Viper, Brimstone",236,1.10,206.4,1.08,78.0,132.8,0.72,0.44,0.06,0.04,27.0,8%,3/36,21,170,158,104,15,9,pacific_s2_2024
Rossy,T1,"Viper, Gekko, Sova",136,1.09,205.7,1.15,73.0,138.7,0.72,0.25,0.07,0.07,33.0,13%,2/15,29,98,85,34,10,10,pacific_s2_2024
Munchkin,GEN,"Viper, Kayo",480,1.09,193.0,1.01,78.0,126.5,0.63,0.55,0.09,0.09,20.0,10%,5/49,34,302,298,264,42,41,pacific_s2_2024
xffero,RRQ,"Killjoy, Omen, Viper",328,1.09,220.1,1.13,74.0,145.8,0.77,0.26,0.08,0.09,31.0,20%,10/49,30,253,224,86,27,29,pacific_s2_2024
t3xture,GEN,"Raze, Jett",480,1.09,229.6,1.2,70.0,148.3,0.82,0.16,0.21,0.14,27.0,14%,3/22,27,394,329,79,99,69,pacific_s2_2024
2GE,TS,"Omen, Viper",290,1.08,196.2,1.08,73.0,126.0,0.7,0.34,0.08,0.08,30.0,25%,9/36,20,202,187,100,24,22,pacific_s2_2024
Flashback,DRX,"Clove, Kayo, Astra",590,1.08,220.5,1.09,70.0,141.9,0.77,0.25,0.11,0.08,29.0,20%,19/94,25,455,418,148,63,46,pacific_s2_2024
stax,T1,"Skye, Fade, Breach",268,1.08,197.6,1.07,78.0,125.4,0.68,0.54,0.03,0.05,30.0,13%,5/39,20,181,169,146,9,14,pacific_s2_2024
iZu,T1,"Raze, Cypher, Iso",268,1.08,253.8,1.2,75.0,167.5,0.88,0.19,0.16,0.14,23.0,6%,1/16,26,236,196,51,44,38,pacific_s2_2024
Wild0reoo,TS,"Killjoy, Cypher, Skye",290,1.06,199.7,1.08,74.0,132.4,0.73,0.31,0.08,0.07,34.0,18%,5/28,25,213,197,90,22,21,pacific_s2_2024
Meteor,GEN,"Cypher, Killjoy",480,1.06,207.1,1.15,72.0,135.5,0.75,0.19,0.1,0.08,29.0,7%,4/56,27,358,311,92,47,40,pacific_s2_2024
Laz,ZETA,"Killjoy, Cypher, Skye",284,1.06,199.8,1.05,66.0,133.5,0.72,0.29,0.08,0.1,37.0,16%,7/43,23,205,196,83,23,28,pacific_s2_2024
JitBoyS,TLN,"Viper, Omen, Astra",398,1.05,200.6,1.01,72.0,131.7,0.71,0.33,0.07,0.08,38.0,7%,4/58,24,283,281,130,28,32,pacific_s2_2024
something,PRX,"Jett, Gekko, Fade",436,1.04,207.2,1.11,72.0,134.1,0.75,0.19,0.16,0.11,29.0,15%,8/55,20,329,296,84,69,50,pacific_s2_2024
SugarZ3ro,ZETA,"Viper, Omen",284,1.04,203.4,1.01,73.0,133.5,0.73,0.32,0.04,0.07,37.0,5%,2/43,21,207,205,92,11,19,pacific_s2_2024
Jinggg,PRX,"Sage, Raze, Iso",436,1.04,224.4,1.1,73.0,144.8,0.78,0.29,0.15,0.12,21.0,13%,3/23,28,339,308,125,65,52,pacific_s2_2024
Lakia,GEN,"Skye, Fade, Sova",480,1.02,183.0,1.03,74.0,123.9,0.64,0.35,0.08,0.08,26.0,21%,9/43,24,305,295,167,36,39,pacific_s2_2024
Estrella,RRQ,"Kayo, Breach, Omen",328,1.01,166.8,0.97,77.0,108.3,0.59,0.48,0.05,0.06,31.0,7%,3/41,23,192,198,159,18,21,pacific_s2_2024
Monyet,RRQ,"Viper, Omen, Neon",328,1.01,211.5,0.98,73.0,141.5,0.73,0.38,0.12,0.13,31.0,20%,6/30,28,240,245,125,38,44,pacific_s2_2024
Jremy,TS,"Jett, Raze, Neon",290,1.00,218.8,1.03,72.0,144.2,0.73,0.2,0.2,0.2,25.0,,0/14,23,213,206,57,57,58,pacific_s2_2024
Lmemore,RRQ,"Sova, Chamber, Skye",328,1.00,199.9,1.0,68.0,134.5,0.7,0.24,0.09,0.12,33.0,19%,6/31,33,229,228,78,30,39,pacific_s2_2024
Benkai,GE,"Sova, Breach, Killjoy",180,0.98,161.0,0.81,72.0,115.7,0.54,0.36,0.02,0.05,28.0,17%,6/35,17,97,120,64,3,9,pacific_s2_2024
blaZek1ng,GE,"Cypher, Killjoy, Viper",180,0.98,184.1,0.92,66.0,122.9,0.67,0.16,0.06,0.07,33.0,15%,6/39,18,120,131,28,11,13,pacific_s2_2024
JessieVash,TS,"Sova, Cypher, Killjoy",290,0.98,187.5,0.99,70.0,125.3,0.64,0.23,0.09,0.09,25.0,18%,7/40,19,187,188,67,25,25,pacific_s2_2024
MaKo,DRX,"Viper, Omen, Breach",590,0.97,190.6,0.93,71.0,125.4,0.65,0.38,0.08,0.1,29.0,17%,12/70,21,382,410,225,47,61,pacific_s2_2024
mindfreak,PRX,"Viper, Omen",436,0.97,167.7,1.03,75.0,108.4,0.62,0.33,0.06,0.06,37.0,13%,7/52,20,270,261,144,26,28,pacific_s2_2024
Polvi,GE,"Jett, Neon",180,0.96,230.0,0.96,67.0,153.2,0.79,0.23,0.21,0.22,26.0,20%,2/10,22,143,149,42,38,40,pacific_s2_2024
carpe,T1,"Gekko, Viper, Sova",132,0.94,195.3,0.97,80.0,125.8,0.68,0.43,0.12,0.08,25.0,8%,1/12,20,90,93,57,16,11,pacific_s2_2024
SSeeS,DFM,"Viper, Omen",250,0.94,177.3,0.86,68.0,114.3,0.61,0.39,0.07,0.09,38.0,13%,6/45,21,153,178,98,17,22,pacific_s2_2024
Retla,BLD,"Killjoy, Cypher",236,0.94,188.0,0.96,66.0,126.0,0.69,0.18,0.05,0.05,27.0,21%,4/19,22,164,171,42,12,12,pacific_s2_2024
Dep,ZETA,"Omen, Raze, Jett",284,0.93,219.4,0.94,69.0,145.8,0.74,0.19,0.22,0.17,27.0,9%,2/23,24,211,224,55,62,47,pacific_s2_2024
hiroronn,ZETA,"Gekko, Sova, Cypher",284,0.92,176.2,0.85,69.0,121.2,0.61,0.24,0.09,0.1,28.0,21%,7/33,20,172,202,67,25,28,pacific_s2_2024
Deryeon,BLD,"Jett, Raze, Neon",236,0.91,210.1,0.94,66.0,136.3,0.74,0.15,0.2,0.22,28.0,15%,3/20,24,174,185,35,47,53,pacific_s2_2024
Surf,TLN,"Jett, Gekko, Breach",280,0.91,171.9,0.91,69.0,111.1,0.61,0.2,0.05,0.07,36.0,,0/28,19,170,186,56,15,19,pacific_s2_2024
ban,TLN,"Killjoy, Cypher, Jett",398,0.90,183.1,0.88,65.0,126.5,0.65,0.19,0.11,0.11,35.0,9%,4/46,23,260,297,76,44,44,pacific_s2_2024
Governor,TLN,"Kayo, Raze, Neon",398,0.90,193.5,0.89,70.0,126.9,0.69,0.23,0.17,0.16,25.0,21%,5/24,26,275,308,93,68,65,pacific_s2_2024
Medusa,DFM,"Killjoy, Cypher",250,0.90,180.4,0.92,68.0,124.6,0.65,0.14,0.08,0.11,26.0,19%,7/37,22,162,177,36,21,27,pacific_s2_2024
neth,DFM,"Harbor, Kayo, Breach",250,0.89,171.6,0.8,74.0,110.0,0.58,0.44,0.04,0.06,27.0,16%,4/25,18,144,180,109,9,16,pacific_s2_2024
Zest,BLD,"Kayo, Deadlock, Viper",236,0.89,167.5,0.85,69.0,106.3,0.59,0.34,0.08,0.1,34.0,13%,4/31,20,139,163,80,20,24,pacific_s2_2024
Crws,TLN,"Gekko, Breach, Sova",398,0.88,168.9,0.83,68.0,117.9,0.56,0.28,0.04,0.08,21.0,11%,6/56,21,224,270,110,16,31,pacific_s2_2024
Russ,GE,"Kayo, Fade",180,0.87,177.0,0.75,72.0,116.7,0.59,0.52,0.12,0.1,34.0,19%,3/16,20,107,143,94,22,18,pacific_s2_2024
BeYN,DRX,"Kayo, Gekko, Sova",590,0.86,161.6,0.79,71.0,109.5,0.55,0.27,0.06,0.08,26.0,24%,16/68,27,322,407,159,34,47,pacific_s2_2024
Foxy9,DRX,"Killjoy, Cypher, Kayo",590,0.85,165.0,0.82,70.0,110.7,0.58,0.35,0.07,0.09,32.0,12%,7/57,21,340,416,209,42,56,pacific_s2_2024
crazyguy,BLD,"Sova, Fade, Deadlock",236,0.82,166.1,0.71,68.0,116.2,0.53,0.33,0.07,0.12,21.0,10%,3/30,19,125,177,77,16,28,pacific_s2_2024
xccurate,T1,"Omen, Viper, Brimstone",268,0.80,160.5,0.79,73.0,106.9,0.55,0.4,0.04,0.1,22.0,24%,5/21,20,148,188,108,12,27,pacific_s2_2024
yuran,ZETA,"Kayo, Breach, Viper",284,0.80,153.5,0.67,71.0,101.7,0.5,0.52,0.05,0.1,25.0,4%,1/25,20,142,211,148,14,27,pacific_s2_2024
Lightningfast,GE,"Omen, Sage",180,0.79,151.9,0.74,69.0,92.4,0.57,0.33,0.07,0.07,30.0,17%,3/18,18,102,138,59,13,13,pacific_s2_2024
Anthem,DFM,"Sova, Gekko, Deadlock",250,0.79,160.3,0.74,73.0,105.4,0.56,0.21,0.05,0.1,23.0,8%,2/25,20,140,189,53,12,25,pacific_s2_2024
Boo,TH,"Viper, Omen, Brimstone",492,,177.6,1.05,,110.2,0.65,0.42,0.09,0.06,,,,20,320,306,207,42,30,masters_shanghai_2024
nobody,EDG,"Gekko, Skye",78,,159.0,0.7,,102.9,0.56,0.29,0.06,0.14,,,,21,44,63,23,5,11,masters_shanghai_2024
Meteor,GEN,"Killjoy, Yoru, Cypher",388,,230.8,1.22,,150.8,0.84,0.13,0.11,0.09,,,,31,326,267,51,43,36,masters_shanghai_2024
Karon,GEN,"Viper, Omen, Astra",388,,193.2,1.13,,125.9,0.7,0.45,0.06,0.07,,,,26,270,238,175,22,28,masters_shanghai_2024
C0M,LEV,"Sova, Fade, Cypher",162,,146.0,0.73,,96.0,0.5,0.26,0.07,0.09,,,,16,81,111,42,11,15,masters_shanghai_2024
tex,LEV,"Killjoy, Cypher, Gekko",162,,219.8,1.16,,145.7,0.77,0.23,0.07,0.07,,,,20,125,108,37,12,12,masters_shanghai_2024
Mazino,LEV,"Harbor, Omen, Kayo",162,,199.3,1.01,,135.8,0.73,0.36,0.09,0.08,,,,30,119,118,59,14,13,masters_shanghai_2024
aspas,LEV,"Jett, Raze",162,,237.8,1.17,,158.0,0.85,0.17,0.21,0.12,,,,23,137,117,28,34,20,masters_shanghai_2024
kiNgg,LEV,"Viper, Omen",162,,210.1,1.05,,140.7,0.75,0.32,0.09,0.1,,,,28,121,115,52,14,16,masters_shanghai_2024
Jinggg,PRX,"Raze, Reyna, Sage",171,,217.5,0.99,,151.7,0.77,0.21,0.09,0.1,,,,24,132,134,36,15,17,masters_shanghai_2024
mindfreak,PRX,"Omen, Brimstone, Viper",171,,180.4,0.91,,120.7,0.64,0.32,0.06,0.05,,,,23,110,121,55,11,8,masters_shanghai_2024
f0rsakeN,PRX,"Skye, Breach, Harbor",171,,189.0,0.89,,122.0,0.67,0.43,0.08,0.13,,,,29,114,128,74,13,22,masters_shanghai_2024
d4v41,PRX,"Viper, Skye, Sage",171,,182.5,1.03,,128.4,0.68,0.32,0.05,0.06,,,,20,117,114,55,8,10,masters_shanghai_2024
something,PRX,"Jett, Gekko, Reyna",171,,237.8,1.12,,152.2,0.81,0.29,0.2,0.19,,,,25,138,123,49,34,33,masters_shanghai_2024
ZmjjKK,EDG,Raze,78,,243.0,0.91,,154.1,0.81,0.15,0.17,0.17,,,,20,63,69,12,13,13,masters_shanghai_2024
Munchkin,GEN,"Kayo, Viper",388,,177.6,0.98,,119.5,0.62,0.39,0.06,0.09,,,,21,239,244,151,23,35,masters_shanghai_2024
Haodong,EDG,"Cypher, Gekko",78,,136.0,0.54,,83.6,0.45,0.21,0.12,0.12,,,,14,35,65,16,9,9,masters_shanghai_2024
Smoggy,EDG,Omen,78,,237.0,1.1,,156.4,0.82,0.26,0.09,0.04,,,,25,64,58,20,7,3,masters_shanghai_2024
CHICHOO,EDG,"Astra, Viper",78,,186.5,0.88,,122.4,0.65,0.26,0.05,0.05,,,,15,51,58,20,4,4,masters_shanghai_2024
Asuna,100T,"Gekko, Raze, Kayo",188,,202.8,0.98,,135.3,0.7,0.3,0.12,0.15,,,,24,131,134,57,22,28,masters_shanghai_2024
Boostio,100T,"Killjoy, Gekko, Cypher",188,,183.0,0.91,,125.1,0.66,0.2,0.1,0.12,,,,22,125,137,37,19,22,masters_shanghai_2024
eeiu,100T,"Sova, Fade",188,,188.9,1.0,,124.5,0.66,0.25,0.05,0.05,,,,16,124,124,47,10,10,masters_shanghai_2024
bang,100T,"Viper, Omen",188,,200.2,1.01,,133.8,0.7,0.25,0.1,0.06,,,,23,131,130,47,18,11,masters_shanghai_2024
Cryocells,100T,"Jett, Brimstone, Gekko",188,,219.2,1.07,,140.2,0.78,0.26,0.12,0.14,,,,32,146,137,48,22,26,masters_shanghai_2024
Boaster,FNC,"Omen, Brimstone, Viper",125,,137.0,0.65,,95.4,0.47,0.31,0.08,0.11,,,,17,59,91,39,10,14,masters_shanghai_2024
Chronicle,FNC,"Viper, Skye, Kayo",125,,172.5,0.81,,118.1,0.59,0.33,0.06,0.11,,,,19,74,91,41,8,14,masters_shanghai_2024
Leo,FNC,"Fade, Gekko, Sova",125,,186.3,1.01,,124.6,0.65,0.36,0.03,0.05,,,,19,81,80,45,4,6,masters_shanghai_2024
Derke,FNC,"Raze, Yoru, Jett",125,,258.5,1.17,,165.3,0.86,0.23,0.18,0.12,,,,26,108,92,29,22,15,masters_shanghai_2024
t3xture,GEN,"Jett, Raze",388,,241.2,1.21,,148.2,0.85,0.14,0.22,0.17,,,,28,328,272,55,84,67,masters_shanghai_2024
Lakia,GEN,"Gekko, Fade, Sova",388,,188.9,1.05,,126.3,0.66,0.34,0.08,0.05,,,,19,256,243,131,31,19,masters_shanghai_2024
RieNs,TH,"Sova, Breach, Skye",492,,207.8,1.14,,137.5,0.74,0.39,0.06,0.04,,,,25,362,317,191,31,22,masters_shanghai_2024
Lysoar,FPX,"Omen, Killjoy",211,,148.4,0.75,,104.1,0.52,0.22,0.06,0.09,,,,26,109,145,47,13,18,masters_shanghai_2024
paTiTek,TH,"Kayo, Fade, Skye",492,,198.6,1.05,,131.4,0.69,0.41,0.09,0.07,,,,20,338,323,201,44,34,masters_shanghai_2024
Wo0t,TH,"Jett, Raze, Viper",492,,248.0,1.21,,158.5,0.87,0.17,0.24,0.16,,,,37,427,352,85,118,79,masters_shanghai_2024
benjyfishy,TH,"Killjoy, Cypher, Viper",492,,196.0,1.11,,131.2,0.72,0.2,0.09,0.09,,,,28,353,319,99,46,46,masters_shanghai_2024
vo0kashu,DRG,"Killjoy, Cypher",85,,223.5,1.0,,156.2,0.74,0.31,0.06,0.08,,,,21,63,63,26,5,7,masters_shanghai_2024
nizhaoTZH,DRG,"Viper, Omen, Brimstone",85,,209.3,1.05,,141.0,0.79,0.25,0.07,0.06,,,,25,67,64,21,6,5,masters_shanghai_2024
TvirusLuke,DRG,"Jett, Raze",85,,202.0,0.74,,154.6,0.65,0.18,0.18,0.2,,,,23,55,74,15,15,17,masters_shanghai_2024
Nicc,DRG,"Sova, Kayo, Skye",85,,183.0,0.79,,121.1,0.59,0.28,0.06,0.11,,,,20,50,63,24,5,9,masters_shanghai_2024
Shion7,DRG,"Harbor, Gekko, Sova",85,,122.5,0.55,,93.7,0.42,0.21,0.04,0.15,,,,14,36,65,18,3,13,masters_shanghai_2024
Autumn,FPX,"Cypher, Viper, Kayo",211,,193.6,0.99,,130.8,0.66,0.34,0.06,0.08,,,,21,140,142,72,12,16,masters_shanghai_2024
Life,FPX,"Yoru, Raze, Clove",211,,239.2,1.01,,154.5,0.82,0.21,0.16,0.22,,,,30,174,173,45,34,46,masters_shanghai_2024
BerLIN,FPX,"Harbor, Astra, Omen",211,,212.0,1.02,,141.9,0.73,0.33,0.14,0.1,,,,28,153,150,70,30,21,masters_shanghai_2024
AAAAY,FPX,"Fade, Gekko",211,,191.2,1.09,,130.1,0.74,0.19,0.08,0.02,,,,30,156,143,40,16,5,masters_shanghai_2024
cNed,FUT,"Raze, Jett, Chamber",305,,216.0,1.01,,148.4,0.77,0.2,0.15,0.16,,,,29,235,233,60,45,50,masters_shanghai_2024
carpe,T1,"Sova, Fade, Omen",103,,196.2,1.03,,131.9,0.71,0.28,0.08,0.1,,,,26,73,71,29,8,10,masters_shanghai_2024
qRaxs,FUT,"Gekko, Breach, Kayo",305,,181.2,0.89,,118.4,0.65,0.38,0.06,0.06,,,,29,198,222,115,18,17,masters_shanghai_2024
AtaKaptan,FUT,"Omen, Viper",305,,192.5,0.91,,120.8,0.69,0.34,0.07,0.14,,,,23,209,229,105,22,42,masters_shanghai_2024
MrFaliN,FUT,"Breach, Omen, Sova",305,,173.9,0.84,,116.5,0.61,0.41,0.06,0.1,,,,21,186,222,126,19,30,masters_shanghai_2024
yetujey,FUT,"Cypher, Killjoy, Viper",305,,189.4,1.0,,127.2,0.67,0.21,0.1,0.11,,,,18,205,206,63,29,34,masters_shanghai_2024
valyn,G2,"Astra, Harbor, Omen",344,,178.4,0.92,,117.1,0.65,0.36,0.06,0.1,,,,20,222,241,124,20,33,masters_shanghai_2024
JonahP,G2,"Viper, Skye, Breach",344,,203.3,1.0,,128.9,0.72,0.35,0.07,0.12,,,,28,246,245,121,25,41,masters_shanghai_2024
leaf,G2,"Cypher, Killjoy, Viper",344,,208.2,0.98,,140.3,0.72,0.23,0.11,0.13,,,,28,248,254,79,37,45,masters_shanghai_2024
icy,G2,"Yoru, Gekko, Raze",344,,196.1,0.9,,131.5,0.67,0.24,0.16,0.11,,,,22,232,258,84,55,39,masters_shanghai_2024
trent,G2,"Sova, Fade, Gekko",344,,184.1,0.85,,120.0,0.62,0.32,0.09,0.05,,,,27,212,248,111,31,18,masters_shanghai_2024
Rossy,T1,"Viper, Breach",103,,217.6,1.15,,130.8,0.75,0.27,0.06,0.06,,,,20,77,67,28,6,6,masters_shanghai_2024
Sayaplayer,T1,"Jett, Sage, Raze",103,,173.6,0.83,,121.3,0.62,0.17,0.07,0.14,,,,19,64,77,17,7,14,masters_shanghai_2024
xccurate,T1,"Harbor, Chamber, Sage",103,,180.2,0.88,,114.9,0.67,0.18,0.09,0.12,,,,18,69,78,19,9,12,masters_shanghai_2024
iZu,T1,"Yoru, Reyna, Omen",103,,210.8,0.83,,134.0,0.72,0.29,0.17,0.13,,,,19,74,89,30,18,13,masters_shanghai_2024
Alfajer,FNC,"Killjoy, Viper, Cypher",125,,221.5,1.1,,150.3,0.78,0.22,0.12,0.14,,,,26,98,89,28,15,17,masters_shanghai_2024
aspas,LEV,"Jett, Phoenix, Raze",544,1.31,260.3,1.51,75.0,175.1,0.95,0.17,0.16,0.11,31.0,11%,8/73,47,519,344,91,89,58,americas_s1_2024
OXY,C9,"Jett, Raze",383,1.24,291.1,1.26,75.0,185.6,1.01,0.22,0.24,0.17,29.0,18%,3/17,35,387,307,86,93,66,americas_s1_2024
Cryocells,100T,"Jett, Astra, Brimstone",457,1.24,243.0,1.35,77.0,161.1,0.88,0.27,0.14,0.06,24.0,12%,5/42,33,402,298,123,65,29,americas_s1_2024
eeiu,100T,"Sova, Fade",457,1.17,195.4,1.26,78.0,133.8,0.72,0.31,0.06,0.04,32.0,12%,10/86,24,328,261,140,27,18,americas_s1_2024
bang,100T,"Viper, Omen",457,1.15,210.1,1.24,78.0,132.1,0.74,0.32,0.1,0.09,33.0,7%,3/41,21,338,273,144,47,41,americas_s1_2024
heat,KRÜ,"Fade, Kayo, Gekko",420,1.15,211.5,1.18,76.0,139.7,0.78,0.38,0.07,0.09,36.0,19%,10/52,26,327,278,160,28,37,americas_s1_2024
TenZ,SEN,"Kayo, Omen, Gekko",289,1.14,224.2,1.11,76.0,138.9,0.75,0.52,0.12,0.08,26.0,22%,4/18,28,217,196,149,34,24,americas_s1_2024
valyn,G2,"Omen, Brimstone, Harbor",584,1.14,212.2,1.15,76.0,136.3,0.77,0.34,0.11,0.09,27.0,20%,14/70,26,450,392,198,65,50,americas_s1_2024
Less,LOUD,"Cypher, Viper",261,1.13,205.2,1.16,72.0,140.3,0.73,0.21,0.06,0.07,28.0,12%,6/52,25,190,164,56,16,17,americas_s1_2024
keznit,KRÜ,"Raze, Reyna, Jett",420,1.11,251.2,1.2,70.0,167.8,0.87,0.19,0.2,0.17,29.0,10%,3/30,27,366,306,80,83,71,americas_s1_2024
kiNgg,LEV,"Viper, Omen",544,1.10,205.1,1.14,76.0,136.6,0.73,0.38,0.1,0.07,30.0,14%,8/57,30,396,348,205,54,37,americas_s1_2024
trent,G2,"Fade, Sova, Viper",584,1.08,195.5,1.05,72.0,131.5,0.68,0.32,0.08,0.08,28.0,20%,15/75,29,395,376,189,47,46,americas_s1_2024
leaf,G2,"Killjoy, Viper, Cypher",584,1.08,221.8,1.15,72.0,147.8,0.78,0.2,0.11,0.1,24.0,19%,12/62,28,458,400,119,63,59,americas_s1_2024
Asuna,100T,"Gekko, Raze, Kayo",457,1.07,230.1,1.13,74.0,145.4,0.78,0.35,0.14,0.15,20.0,15%,4/26,25,357,315,161,66,69,americas_s1_2024
johnqt,SEN,"Viper, Cypher",289,1.07,187.5,1.12,76.0,124.9,0.67,0.31,0.06,0.07,27.0,19%,9/47,29,194,173,91,16,19,americas_s1_2024
runi,C9,"Sova, Viper",383,1.05,187.7,1.08,73.0,133.8,0.69,0.27,0.08,0.06,35.0,18%,10/55,21,263,244,102,29,23,americas_s1_2024
NaturE,EG,"Viper, Killjoy, Breach",280,1.04,199.7,0.98,69.0,132.5,0.69,0.37,0.05,0.06,32.0,12%,6/49,24,192,195,104,15,18,americas_s1_2024
Shyy,KRÜ,"Killjoy, Cypher, Viper",420,1.04,189.4,1.09,73.0,130.5,0.68,0.2,0.06,0.06,26.0,13%,8/63,22,286,262,86,27,24,americas_s1_2024
zekken,SEN,"Jett, Raze",289,1.03,243.4,1.1,72.0,154.0,0.81,0.16,0.23,0.15,23.0,19%,3/16,23,234,213,47,67,44,americas_s1_2024
nzr,FUR,"Skye, Kayo, Sova",224,1.02,191.6,0.94,67.0,125.7,0.68,0.28,0.03,0.03,26.0,11%,5/45,23,153,163,62,6,6,americas_s1_2024
Zellsis,SEN,"Killjoy, Viper, Brimstone",289,1.02,184.0,0.99,72.0,128.8,0.63,0.26,0.07,0.09,21.0,18%,6/34,23,182,183,75,20,25,americas_s1_2024
Ethan,NRG,"Yoru, Kayo, Omen",260,1.01,191.1,0.96,72.0,122.0,0.65,0.43,0.07,0.1,21.0,17%,4/24,19,168,175,112,17,25,americas_s1_2024
Melser,KRÜ,"Omen, Viper",420,1.00,174.0,1.0,71.0,119.9,0.63,0.28,0.08,0.08,32.0,15%,7/46,22,263,263,119,33,34,americas_s1_2024
Mazino,LEV,"Harbor, Breach, Kayo",544,1.00,209.5,1.02,74.0,134.2,0.73,0.4,0.07,0.1,29.0,15%,7/46,26,395,389,216,37,56,americas_s1_2024
crashies,NRG,"Sova, Gekko, Skye",260,1.00,182.3,1.03,72.0,118.8,0.68,0.27,0.04,0.06,35.0,21%,10/48,24,176,171,69,11,16,americas_s1_2024
