Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
brawk,NRG,"Tejo, Sova, Gekko",275,0.99,185.0,0.98,75.0,126.7,0.67,0.31,0.04,0.07,19.0,6%,2/35,19,183,186,84,12,18,vct_americas_2025_s1
OXY,C9,"Raze, Neon, Jett",367,0.99,236.4,1.01,71.0,150.8,0.82,0.19,0.21,0.19,27.0,21%,3/14,27,300,297,69,78,70,vct_americas_2025_s1
xenom,MIBR,"Astra, Viper, Omen",500,0.99,183.1,1.07,73.0,119.6,0.68,0.31,0.06,0.09,32.0,16%,10/61,22,340,319,155,31,43,vct_americas_2025_s1
icy,EG,"Waylay, Raze, Jett",401,0.99,220.3,1.03,72.0,146.6,0.79,0.16,0.16,0.17,26.0,23%,9/40,28,316,308,63,64,67,vct_americas_2025_s1
cortezia,MIBR,"Cypher, Killjoy, Vyse",500,0.98,196.4,1.05,71.0,129.2,0.72,0.23,0.1,0.09,35.0,14%,6/43,22,359,343,113,49,43,vct_americas_2025_s1
Derrek,EG,"Sova, Tejo",401,0.98,182.6,0.95,73.0,128.6,0.64,0.26,0.04,0.05,30.0,17%,10/59,22,256,269,103,17,20,vct_americas_2025_s1
Melser,KRÜ,"Brimstone, Omen, Viper",323,0.96,177.9,0.89,76.0,117.9,0.62,0.36,0.08,0.09,25.0,11%,5/44,18,199,223,117,27,29,vct_americas_2025_s1
dgzin,LOUD,"Neon, Jett, Raze",307,0.95,215.1,1.0,68.0,136.0,0.75,0.19,0.19,0.17,30.0,5%,1/19,32,230,230,59,59,52,vct_americas_2025_s1
tex,LEV,"Viper, Killjoy, Cypher",229,0.95,198.5,0.98,70.0,132.1,0.69,0.18,0.11,0.1,38.0,13%,4/31,23,159,163,41,26,24,vct_americas_2025_s1
lz,2G,"Omen, Astra, Viper",234,0.94,193.4,0.96,75.0,120.4,0.71,0.38,0.09,0.11,40.0,25%,8/32,25,165,171,90,21,25,vct_americas_2025_s1
C0M,LEV,"Tejo, Sova, Fade",229,0.93,170.4,0.86,76.0,117.9,0.59,0.28,0.04,0.05,25.0,16%,5/31,21,135,157,65,10,11,vct_americas_2025_s1
Askia,2G,"Yoru, Raze, Jett",234,0.92,194.0,0.94,65.0,134.0,0.69,0.15,0.15,0.16,32.0,17%,4/24,20,161,171,35,35,37,vct_americas_2025_s1
JonahP,G2,"Breach, Kayo, Fade",663,0.92,162.3,0.82,75.0,103.3,0.54,0.52,0.07,0.07,19.0,11%,8/75,19,359,440,345,45,48,vct_americas_2025_s1
Asuna,100T,"Neon, Raze, Gekko",408,0.92,201.7,0.87,71.0,135.2,0.68,0.29,0.17,0.18,24.0,23%,5/22,21,278,318,119,69,74,vct_americas_2025_s1
NaturE,EG,"Breach, Fade, Vyse",401,0.91,182.0,0.86,73.0,118.1,0.62,0.41,0.05,0.07,23.0,28%,11/39,20,250,292,166,22,30,vct_americas_2025_s1
cauanzin,LOUD,"Tejo, Sova, Fade",307,0.90,178.3,0.87,68.0,122.2,0.6,0.23,0.06,0.11,23.0,22%,5/23,18,184,212,71,17,35,vct_americas_2025_s1
kiNgg,LEV,"Yoru, Waylay, Omen",229,0.89,189.1,0.89,69.0,123.0,0.65,0.24,0.14,0.17,28.0,16%,3/19,22,148,167,56,31,38,vct_americas_2025_s1
